Username,Top Repository,Github,Repository URL,Ratings
mrdoob,three.js,https://github.com//mrdoob,https://github.com//mrdoob/three.js,97700
pmndrs,react-three-fiber,https://github.com//pmndrs,https://github.com//pmndrs/react-three-fiber,25400
libgdx,libgdx,https://github.com//libgdx,https://github.com//libgdx/libgdx,22500
BabylonJS,Babylon.js,https://github.com//BabylonJS,https://github.com//BabylonJS/Babylon.js,22100
ssloy,tinyrenderer,https://github.com//ssloy,https://github.com//ssloy/tinyrenderer,19000
FreeCAD,FreeCAD,https://github.com//FreeCAD,https://github.com//FreeCAD/FreeCAD,16900
lettier,3d-game-shaders-for-beginners,https://github.com//lettier,https://github.com//lettier/3d-game-shaders-for-beginners,16800
aframevr,aframe,https://github.com//aframevr,https://github.com//aframevr/aframe,16000
CesiumGS,cesium,https://github.com//CesiumGS,https://github.com//CesiumGS/cesium,11600
blender,blender,https://github.com//blender,https://github.com//blender/blender,11000
MonoGame,MonoGame,https://github.com//MonoGame,https://github.com//MonoGame/MonoGame,10600
isl-org,Open3D,https://github.com//isl-org,https://github.com//isl-org/Open3D,10200
metafizzy,zdog,https://github.com//metafizzy,https://github.com//metafizzy/zdog,10200
timzhang642,3D-Machine-Learning,https://github.com//timzhang642,https://github.com//timzhang642/3D-Machine-Learning,9400
nerfstudio-project,nerfstudio,https://github.com//nerfstudio-project,https://github.com//nerfstudio-project/nerfstudio,8100
a1studmuffin,SpaceshipGenerator,https://github.com//a1studmuffin,https://github.com//a1studmuffin/SpaceshipGenerator,7500
domlysz,BlenderGIS,https://github.com//domlysz,https://github.com//domlysz/BlenderGIS,7100
FyroxEngine,Fyrox,https://github.com//FyroxEngine,https://github.com//FyroxEngine/Fyrox,7000
google,model-viewer,https://github.com//google,https://github.com//google/model-viewer,6400
openscad,openscad,https://github.com//openscad,https://github.com//openscad/openscad,6300
ljianshu,Blog,https://github.com//ljianshu,https://github.com//ljianshu/Blog,7800
metafizzy,infinite-scroll,https://github.com//metafizzy,https://github.com//metafizzy/infinite-scroll,7400
olifolkerd,tabulator,https://github.com//olifolkerd,https://github.com//olifolkerd/tabulator,6100
developit,unfetch,https://github.com//developit,https://github.com//developit/unfetch,5700
jquery-form,form,https://github.com//jquery-form,https://github.com//jquery-form/form,5200
Studio-42,elFinder,https://github.com//Studio-42,https://github.com//Studio-42/elFinder,4500
elbywan,wretch,https://github.com//elbywan,https://github.com//elbywan/wretch,4400
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com//dwyl,https://github.com//dwyl/learn-to-send-email-via-google-script-html-no-server,3100
ded,reqwest,https://github.com//ded,https://github.com//ded/reqwest,2900
wendux,ajax-hook,https://github.com//wendux,https://github.com//wendux/ajax-hook,2500
LeaVerou,bliss,https://github.com//LeaVerou,https://github.com//LeaVerou/bliss,2400
noelboss,featherlight,https://github.com//noelboss,https://github.com//noelboss/featherlight,2100
craftpip,jquery-confirm,https://github.com//craftpip,https://github.com//craftpip/jquery-confirm,1900
nette,tracy,https://github.com//nette,https://github.com//nette/tracy,1700
taoensso,sente,https://github.com//taoensso,https://github.com//taoensso/sente,1700
k8w,tsrpc,https://github.com//k8w,https://github.com//k8w/tsrpc,1700
loadingio,css-spinner,https://github.com//loadingio,https://github.com//loadingio/css-spinner,1700
joaomilho,Enterprise,https://github.com//joaomilho,https://github.com//joaomilho/Enterprise,1600
codingforentrepreneurs,eCommerce,https://github.com//codingforentrepreneurs,https://github.com//codingforentrepreneurs/eCommerce,1500
u014427391,jeeplatform,https://github.com//u014427391,https://github.com//u014427391/jeeplatform,1400
jwasham,coding-interview-university,https://github.com//jwasham,https://github.com//jwasham/coding-interview-university,279000
trekhleb,javascript-algorithms,https://github.com//trekhleb,https://github.com//trekhleb/javascript-algorithms,181000
TheAlgorithms,Python,https://github.com//TheAlgorithms,https://github.com//TheAlgorithms/Python,176000
CyC2018,CS-Notes,https://github.com//CyC2018,https://github.com//CyC2018/CS-Notes,171000
yangshun,tech-interview-handbook,https://github.com//yangshun,https://github.com//yangshun/tech-interview-handbook,107000
krahets,hello-algo,https://github.com//krahets,https://github.com//krahets/hello-algo,64099
kdn251,interviews,https://github.com//kdn251,https://github.com//kdn251/interviews,61300
TheAlgorithms,Java,https://github.com//TheAlgorithms,https://github.com//TheAlgorithms/Java,56000
azl397985856,leetcode,https://github.com//azl397985856,https://github.com//azl397985856/leetcode,53400
algorithm-visualizer,algorithm-visualizer,https://github.com//algorithm-visualizer,https://github.com//algorithm-visualizer/algorithm-visualizer,45900
youngyangyang04,leetcode-master,https://github.com//youngyangyang04,https://github.com//youngyangyang04/leetcode-master,45600
huihut,interview,https://github.com//huihut,https://github.com//huihut/interview,32200
halfrost,LeetCode-Go,https://github.com//halfrost,https://github.com//halfrost/LeetCode-Go,31500
TheAlgorithms,JavaScript,https://github.com//TheAlgorithms,https://github.com//TheAlgorithms/JavaScript,30700
TheAlgorithms,C-Plus-Plus,https://github.com//TheAlgorithms,https://github.com//TheAlgorithms/C-Plus-Plus,28700
donnemartin,interactive-coding-challenges,https://github.com//donnemartin,https://github.com//donnemartin/interactive-coding-challenges,28500
crossoverJie,JCSprout,https://github.com//crossoverJie,https://github.com//crossoverJie/JCSprout,27100
keon,algorithms,https://github.com//keon,https://github.com//keon/algorithms,23400
mxgmn,WaveFunctionCollapse,https://github.com//mxgmn,https://github.com//mxgmn/WaveFunctionCollapse,22500
trekhleb,homemade-machine-learning,https://github.com//trekhleb,https://github.com//trekhleb/homemade-machine-learning,22400
amphp,amp,https://github.com//amphp,https://github.com//amphp/amp,4100
danog,MadelineProto,https://github.com//danog,https://github.com//danog/MadelineProto,2600
unreal4u,telegram-api,https://github.com//unreal4u,https://github.com//unreal4u/telegram-api,773
amphp,parallel,https://github.com//amphp,https://github.com//amphp/parallel,725
amphp,http-client,https://github.com//amphp,https://github.com//amphp/http-client,686
amphp,byte-stream,https://github.com//amphp,https://github.com//amphp/byte-stream,351
php-service-bus,service-bus,https://github.com//php-service-bus,https://github.com//php-service-bus/service-bus,346
amphp,mysql,https://github.com//amphp,https://github.com//amphp/mysql,338
amphp,parallel-functions,https://github.com//amphp,https://github.com//amphp/parallel-functions,263
amphp,process,https://github.com//amphp,https://github.com//amphp/process,223
xtrime-ru,TelegramRSS,https://github.com//xtrime-ru,https://github.com//xtrime-ru/TelegramRSS,210
amphp,socket,https://github.com//amphp,https://github.com//amphp/socket,210
amphp,sync,https://github.com//amphp,https://github.com//amphp/sync,152
amphp,redis,https://github.com//amphp,https://github.com//amphp/redis,146
amphp,dns,https://github.com//amphp,https://github.com//amphp/dns,146
amphp,websocket-client,https://github.com//amphp,https://github.com//amphp/websocket-client,131
kelunik,acme,https://github.com//kelunik,https://github.com//kelunik/acme,121
amphp,websocket-server,https://github.com//amphp,https://github.com//amphp/websocket-server,109
amphp,serialization,https://github.com//amphp,https://github.com//amphp/serialization,103
amphp,cache,https://github.com//amphp,https://github.com//amphp/cache,94
flutter,flutter,https://github.com//flutter,https://github.com//flutter/flutter,160000
facebook,react-native,https://github.com//facebook,https://github.com//facebook/react-native,115000
justjavac,free-programming-books-zh_CN,https://github.com//justjavac,https://github.com//justjavac/free-programming-books-zh_CN,108000
Genymobile,scrcpy,https://github.com//Genymobile,https://github.com//Genymobile/scrcpy,98800
Hack-with-Github,Awesome-Hacking,https://github.com//Hack-with-Github,https://github.com//Hack-with-Github/Awesome-Hacking,75100
Solido,awesome-flutter,https://github.com//Solido,https://github.com//Solido/awesome-flutter,50400
google,material-design-icons,https://github.com//google,https://github.com//google/material-design-icons,49500
wasabeef,awesome-android-ui,https://github.com//wasabeef,https://github.com//wasabeef/awesome-android-ui,48600
tldr-pages,tldr,https://github.com//tldr-pages,https://github.com//tldr-pages/tldr,47600
square,okhttp,https://github.com//square,https://github.com//square/okhttp,45100
android,architecture-samples,https://github.com//android,https://github.com//android/architecture-samples,43700
square,retrofit,https://github.com//square,https://github.com//square/retrofit,42500
laurent22,joplin,https://github.com//laurent22,https://github.com//laurent22/joplin,41400
appwrite,appwrite,https://github.com//appwrite,https://github.com//appwrite/appwrite,39600
dcloudio,uni-app,https://github.com//dcloudio,https://github.com//dcloudio/uni-app,39100
fastlane,fastlane,https://github.com//fastlane,https://github.com//fastlane/fastlane,38400
skylot,jadx,https://github.com//skylot,https://github.com//skylot/jadx,38300
PhilJay,MPAndroidChart,https://github.com//PhilJay,https://github.com//PhilJay/MPAndroidChart,37100
shadowsocks,shadowsocks-android,https://github.com//shadowsocks,https://github.com//shadowsocks/shadowsocks-android,34600
airbnb,lottie-android,https://github.com//airbnb,https://github.com//airbnb/lottie-android,34600
justjavac,free-programming-books-zh_CN,https://github.com//justjavac,https://github.com//justjavac/free-programming-books-zh_CN,108000
angular,angular,https://github.com//angular,https://github.com//angular/angular,93700
storybookjs,storybook,https://github.com//storybookjs,https://github.com//storybookjs/storybook,82100
leonardomso,33-js-concepts,https://github.com//leonardomso,https://github.com//leonardomso/33-js-concepts,61300
ionic-team,ionic-framework,https://github.com//ionic-team,https://github.com//ionic-team/ionic-framework,50200
prettier,prettier,https://github.com//prettier,https://github.com//prettier/prettier,47900
Asabeneh,30-Days-Of-JavaScript,https://github.com//Asabeneh,https://github.com//Asabeneh/30-Days-Of-JavaScript,40500
SheetJS,sheetjs,https://github.com//SheetJS,https://github.com//SheetJS/sheetjs,34300
angular,angular-cli,https://github.com//angular,https://github.com//angular/angular-cli,26600
angular,components,https://github.com//angular,https://github.com//angular/components,24000
NativeScript,NativeScript,https://github.com//NativeScript,https://github.com//NativeScript/NativeScript,23500
goldbergyoni,javascript-testing-best-practices,https://github.com//goldbergyoni,https://github.com//goldbergyoni/javascript-testing-best-practices,23400
nrwl,nx,https://github.com//nrwl,https://github.com//nrwl/nx,21400
wailsapp,wails,https://github.com//wailsapp,https://github.com//wailsapp/wails,21200
jhipster,generator-jhipster,https://github.com//jhipster,https://github.com//jhipster/generator-jhipster,21100
